Airline,Max Price,Min Price,Avg Price
Royal Jordanian,37995,37995,37995
Condor,47268,47268,47268
Egyptair,54558,14232,31871
Azerbaijan Airlines,21942,11625,13226
Lufthansa,43484,14875,16671
AJet,2027,2027,2027
Pegasus,8806,2042,4635
Vueling Airlines,24774,24774,24774
Aegean Airlines,20871,9579,14400
Türk Hava Yolları,8871,4943,6094
LOT Polish Airlines,13759,13759,13759
KLM Royal Dutch Airlines,53047,19332,31132
Iberia,24736,24736,24736
Air Baltic,17607,11790,13782
Norwegian Air Shuttle,14753,11057,12980
Air Serbia,24260,9164,13318
Air France,48899,13304,23931
British Airways,59908,35204,48487
