DepartureTime,ArrivalTime,AirlineName,Price,ConnectionInfo,Duration
00:05,01:35,AJet,2203,0,1sa 30dk
23:55,01:25,Pegasus,3702,0,1sa 30dk
18:45,20:15,Pegasus,3896,0,1sa 30dk
07:15,08:45,AJet,4329,0,1sa 30dk
14:25,15:55,AJet,4329,0,1sa 30dk
18:35,20:05,AJet,4329,0,1sa 30dk
21:00,22:30,AJet,4329,0,1sa 30dk
01:10,02:45,Türk Hava Yolları,4907,0,1sa 35dk
06:45,08:25,Türk Hava Yolları,4907,0,1sa 40dk
10:40,12:10,AJet,5129,0,1sa 30dk
21:55,23:30,Türk Hava Yolları,5530,0,1sa 35dk
10:05,11:45,Türk Hava Yolları,5530,0,1sa 40dk
15:05,16:35,Pegasus,5613,0,1sa 30dk
07:55,16:40,AJet,5660,1,8sa 45dk
07:55,20:25,AJet,5660,1,12sa 30dk
10:00,16:40,AJet,5860,1,6sa 40dk
10:00,20:25,AJet,5860,1,10sa 25dk
00:05,16:40,AJet,5860,1,16sa 35dk
00:05,20:25,AJet,5860,1,20sa 20dk
20:30,22:00,Pegasus,6040,0,1sa 30dk
06:00,07:30,Pegasus,6171,0,1sa 30dk
13:15,14:55,Türk Hava Yolları,6190,0,1sa 40dk
14:25,16:05,Türk Hava Yolları,6190,0,1sa 40dk
16:20,18:00,Türk Hava Yolları,6190,0,1sa 40dk
18:25,20:05,Türk Hava Yolları,6190,0,1sa 40dk
06:25,13:00,Türk Hava Yolları,6413,1,6sa 35dk
00:05,09:10,AJet,6456,1,9sa 5dk
13:00,16:40,AJet,6806,1,3sa 40dk
15:55,20:25,AJet,6806,1,4sa 30dk
13:00,20:25,AJet,6806,1,7sa 25dk
23:05,16:40,AJet,6806,1,17sa 35dk
23:05,20:25,AJet,6806,1,21sa 20dk
18:55,16:40,AJet,6806,1,21sa 45dk
15:55,16:40,AJet,6806,1,1g 45dk
18:55,20:25,AJet,6806,1,1g 1sa 30dk
16:05,17:35,Pegasus,7185,0,1sa 30dk
08:00,09:30,Pegasus,7377,0,1sa 30dk
07:55,09:10,AJet,7476,1,1g 1sa 15dk
10:00,09:10,AJet,7676,1,23sa 10dk
06:45,12:45,AJet,7722,1,6sa
06:45,19:25,AJet,7722,1,12sa 40dk
01:00,12:45,AJet,8147,1,11sa 45dk
01:00,19:25,AJet,8147,1,18sa 25dk
19:25,19:25,AJet,8147,1,1g
23:05,09:10,AJet,8326,1,10sa 5dk
18:55,09:10,AJet,8326,1,14sa 15dk
15:55,09:10,AJet,8326,1,17sa 15dk
13:00,09:10,AJet,8326,1,20sa 10dk
19:25,12:45,AJet,9602,1,17sa 20dk
