DepartureTime,ArrivalTime,AirlineName,Price,ConnectionInfo,Duration
00:35,04:50,Ural Airlines,9644,0,195
00:35,04:50,Ural Airlines,11120,0,195
00:40,05:00,Azerbaijan Airlines,11755,0,200
00:40,05:00,Azerbaijan Airlines,11755,0,200
01:00,05:25,Azerbaijan Airlines,12758,0,205
01:00,05:25,Azerbaijan Airlines,12758,0,205
12:10,16:30,Azerbaijan Airlines,12839,0,200
12:10,16:30,Azerbaijan Airlines,12839,0,200
00:35,04:50,Ural Airlines,12969,0,195
14:40,04:05,AJet,13529,1,745
12:50,17:15,Azerbaijan Airlines,13842,0,205
12:50,17:15,Azerbaijan Airlines,13842,0,205
15:05,03:05,Pegasus,14437,1,660
14:40,16:35,AJet,15931,1,1495
02:45,17:05,AJet,21071,1,800
02:45,04:05,AJet,21071,1,1460
19:25,05:15,Türk Hava Yolları,24954,1,530
14:30,01:35,Türk Hava Yolları,24954,1,605
14:30,05:15,Türk Hava Yolları,24954,1,825
19:25,10:40,Türk Hava Yolları,24954,1,855
14:30,10:40,Türk Hava Yolları,24954,1,1150
19:25,15:55,Türk Hava Yolları,24954,1,1170
19:25,19:50,Türk Hava Yolları,24954,1,1405
14:30,15:55,Türk Hava Yolları,24954,1,1465
14:30,19:50,Türk Hava Yolları,24954,1,1700
19:25,01:35,Türk Hava Yolları,24954,1,1750
05:15,17:00,Flydubai,26346,1,645
02:00,17:00,Flydubai,26346,1,840
01:05,17:00,Flydubai,26346,1,895
05:15,21:20,Flydubai,26346,1,905
16:30,11:05,Flydubai,26346,1,1055
02:00,21:20,Flydubai,26346,1,1100
01:05,21:20,Flydubai,26346,1,1155
16:30,17:00,Flydubai,26346,1,1410
16:30,21:20,Flydubai,26346,1,1670
05:15,11:05,Flydubai,26346,1,1730
02:00,11:05,Flydubai,26346,1,1925
05:15,17:00,Flydubai,29283,1,645
16:30,11:05,Flydubai,29283,1,1055
06:25,15:55,Türk Hava Yolları,30063,1,510
06:25,19:50,Türk Hava Yolları,30063,1,745
06:25,01:35,Türk Hava Yolları,30063,1,1090
06:25,05:15,Türk Hava Yolları,30063,1,1310
06:25,10:40,Türk Hava Yolları,30063,1,1635
21:50,05:25,Scat Airlines,31499,1,1835
01:30,05:15,Scat Airlines,33225,1,1605
00:35,10:40,Türk Hava Yolları,34825,1,545
00:35,15:55,Türk Hava Yolları,34825,1,860
00:35,19:50,Türk Hava Yolları,34825,1,1095
00:35,01:35,Türk Hava Yolları,34825,1,1440
00:35,05:15,Türk Hava Yolları,34825,1,1660
02:40,15:55,Türk Hava Yolları,40020,1,735
02:40,19:50,Türk Hava Yolları,40020,1,970
02:40,01:35,Türk Hava Yolları,40020,1,1315
02:40,05:15,Türk Hava Yolları,40020,1,1535
12:30,01:35,Türk Hava Yolları,45259,1,725
12:30,05:15,Türk Hava Yolları,45259,1,945
12:30,10:40,Türk Hava Yolları,45259,1,1270
12:30,15:55,Türk Hava Yolları,45259,1,1585
12:30,19:50,Türk Hava Yolları,45259,1,1820
23:10,16:10,Emirates,52453,1,960
16:50,16:10,Azerbaijan Airlines,52453,1,1340
08:15,16:10,Emirates,52453,1,1855
00:10,12:40,Azerbaijan Airlines,64734,1,690
